Date,NZL_U,GDP_HM,BIS_REER,Nom_IR_10yr,CPI,Inflation,QSBO_I_intentions,stock,NZ.ygap
1975q1,,23903.98248,210.4633333,6.1,100.611657,3.10000025,,,
1975q2,,24032.18017,208.7666667,6.1,104.612703,3.976722101,,,
1975q3,,23953.27187,188.37,6.5,108.418575,3.638059137,,,
1975q4,0.471861248,23880.26838,174.1966667,6.6,112.907553,4.140414131,-16.85393258,4.630820684,-1.029956723
1976q1,0.076800571,23885.36527,173.43,7.5,117.884463,4.407951344,-13.79310345,8.43373494,-1.652111758
1976q2,0.273383829,24103.47566,168.34,8.6,123.154133,4.470198927,-2.247191011,-1.995464853,-1.500308681
1976q3,-0.105007563,24078.61882,167.4133333,8.6,127.057592,3.169572068,1.149425287,7.380842203,-1.560089234
1976q4,0.403113016,23914.3552,163.0766667,8.7,130.570706,2.764977633,-2.298850575,-5.451411334,-1.871007027
1977q1,-0.423909281,23792.90141,165.2866667,8.7,133.986232,2.615844016,-4.444444444,-4.124886053,-2.385205324
1977q2,0.278118253,23561.17311,165.02,8.7,140.42694,4.806992408,-11.49425287,-1.877822676,-3.03586564
1977q3,0.457179066,23407.38523,164.6966667,9.5,145.40385,3.544127644,-27.27272727,-9.641472868,-3.280307096
1977q4,-0.065160437,23326.18469,164.4333333,10.1,150.575933,3.557046804,-31.46067416,-2.975871314,-3.326856083
1978q1,-0.384894437,23112.58288,164.7766667,10,153.587452,2.000000226,-31.46067416,3.978999724,-3.659682663
1978q2,-0.09688246,23151.62562,161.99,10,157.653002,2.647058693,-18.3908046,6.989104438,-3.457446034
1978q3,-0.599206015,23260.58389,160.1533333,9.9,161.567976,2.483285412,-7.692307692,2.309985097,-2.951978749
1978q4,-0.346918105,23429.1026,159.9566667,10,165.784102,2.609505983,-2.298850575,-1.869385773,-2.245886936
1979q1,0.266086497,23757.14861,161.34,10.1,169.548501,2.270663444,0,1.558634339,-1.205311664
1979q2,-0.302629397,23759.97684,163.0833333,12.7,177.227874,4.529307517,-1.123595506,3.045066991,-0.947176104
1979q3,-0.872369771,23635.53464,156.0233333,12.3,186.111853,5.01274365,3.370786517,4.609929078,-1.082638318
1979q4,-0.132604482,23793.91563,154.4733333,13,193.188923,3.802589618,-9.89010989,5.446327684,-0.909984536
1980q1,-0.637852105,24038.55769,154.6466667,13.5,200.717719,3.897115778,-3.333333333,2.121731676,-0.606650479
1980q2,-1.70156343,23799.57209,152.02,13.5,208.999395,4.126031345,-8.045977011,11.03882476,-0.953169872
1980q3,0.002770496,23816.54148,149.9366667,13.2,216.528192,3.602305643,-7.777777778,9.10980911,-0.999525152
1980q4,0.761940984,24252.08921,147.7766667,13,224.35814,3.616133275,-6.593406593,16.36930539,-0.518970623
