,Survey,Overall_average,NZL_berger,NZL_PC1,Date,date_Q,i_int_PM,d_i_int_PM,econ_outlook,decon_outlook,i_int_B,d_i_int_B
1,59,0.936504158,-0.53713285,0.471861248,1/10/1975,1975Q4,-16.85393258,,-45.45454545,,-26.02739726,
2,60,0.503783373,-0.532942417,0.076800571,1/01/1976,1976Q1,-13.79310345,3.06082913,-25.51020408,19.94434137,-11.26760563,14.75979163
3,61,0.71660807,-0.531786945,0.273383829,1/04/1976,1976Q2,-2.247191011,11.54591244,-34.34343434,-8.833230262,-12.5,-1.232394366
4,62,0.285203217,-0.505796959,-0.105007563,1/07/1976,1976Q3,1.149425287,3.396616298,-2.02020202,32.32323232,-9.589041096,2.910958904
5,63,0.816163705,-0.477982996,0.403113016,1/10/1976,1976Q4,-2.298850575,-3.448275862,-51.02040816,-49.00020614,-19.44444444,-9.855403349
6,64,-0.100063711,-0.455763146,-0.423909281,1/01/1977,1977Q1,-4.444444444,-2.145593869,-44,7.020408163,-22.97297297,-3.528528529
7,65,0.688614667,-0.488799732,0.278118253,1/04/1977,1977Q2,-11.49425287,-7.049808426,-49.49494949,-5.494949495,-22.97297297,0
8,66,0.900995652,-0.511778287,0.457179066,1/07/1977,1977Q3,-27.27272727,-15.7784744,-62.62626263,-13.13131313,-31.08108108,-8.108108108
9,67,0.350212676,-0.533931105,-0.065160437,1/10/1977,1977Q4,-31.46067416,-4.18794689,-53.53535354,9.090909091,-36.48648649,-5.405405405
10,68,0.016352252,-0.551751501,-0.384894437,1/01/1978,1978Q1,-31.46067416,0,-16.16161616,37.37373737,-35.13513514,1.351351351
11,69,0.333465528,-0.556941352,-0.09688246,1/04/1978,1978Q2,-18.3908046,13.06986956,28.57142857,44.73304473,-24.32432432,10.81081081
12,70,-0.209232629,-0.561355343,-0.599206015,1/07/1978,1978Q3,-7.692307692,10.69849691,32,3.428571429,-17.80821918,6.516105146
13,71,0.061031676,-0.556153228,-0.346918105,1/10/1978,1978Q4,-2.298850575,5.393457117,-15.30612245,-47.30612245,-21.33333333,-3.525114155
14,72,0.71808406,-0.543991942,0.266086497,1/01/1979,1979Q1,0,2.298850575,-33.33333333,-18.02721088,-13.88888889,7.444444444
15,73,0.092095129,-0.533991862,-0.302629397,1/04/1979,1979Q2,-1.123595506,-1.123595506,-33.33333333,0,-20.54794521,-6.659056317
16,74,-0.545421331,-0.510483848,-0.872369771,1/07/1979,1979Q3,3.370786517,4.494382023,-7.070707071,26.26262626,-9.459459459,11.08848575
17,75,0.241751743,-0.488351326,-0.132604482,1/10/1979,1979Q4,-9.89010989,-13.26089641,-46.46464646,-39.39393939,-20,-10.54054054
18,76,-0.337366219,-0.449647781,-0.637852105,1/01/1980,1980Q1,-3.333333333,6.556776557,-32.32323232,14.14141414,-17.80821918,2.191780822
19,77,-1.528868303,-0.404133957,-1.70156343,1/04/1980,1980Q2,-8.045977011,-4.712643678,-33.33333333,-1.01010101,-31.08108108,-13.2728619
20,78,0.2770581,-0.343246662,0.002770496,1/07/1980,1980Q3,-7.777777778,0.268199233,-22.22222222,11.11111111,-25,6.081081081
21,79,1.067764215,-0.298332355,0.761940984,1/10/1980,1980Q4,-6.593406593,1.184371185,-7.070707071,15.15151515,-21.33333333,3.666666667
22,80,-0.3202645,-0.215445786,-0.456040308,1/01/1981,1981Q1,3.296703297,9.89010989,25.25252525,32.32323232,-12.32876712,9.00456621
23,81,-0.554422938,-0.113996944,-0.599486723,1/04/1981,1981Q2,3.370786517,0.07408322,40.4040404,15.15151515,-7.042253521,5.286513602
24,82,-0.352688098,0.023438491,-0.31646332,1/07/1981,1981Q3,13.04347826,9.672691743,35.35353535,-5.050505051,2.666666667,9.708920188
25,83,-0.261092049,0.162149975,-0.133844677,1/10/1981,1981Q4,10.86956522,-2.17391304,-14.14141414,-49.49494949,-10.38961039,-13.05627706
26,84,-0.011032494,0.29911888,0.193298718,1/01/1982,1982Q1,2.197802198,-8.671763022,-21.21212121,-7.070707071,-9.459459459,0.93015093
27,85,0.430273513,0.447896497,0.704731511,1/04/1982,1982Q2,10,7.802197802,-43.43434343,-22.22222222,-9.333333333,0.126126126
28,86,0.982774098,0.623060362,1.337156542,1/07/1982,1982Q3,-11.49425287,-21.49425287,-44.44444444,-1.01010101,-23.61111111,-14.27777778
29,87,0.809538164,0.874561059,1.356155995,1/10/1982,1982Q4,-22.47191011,-10.97765724,-60.60606061,-16.16161616,-33.33333333,-9.722222222
