vol,date,parliament
 382,14 February 1973 – 16 March 1973, 37th Parliament: 1st session
 383,5 June 1973 – 29 June 1973, 37th Parliament: 1st session
 384,3 July 1973 – 31 July 1973, 37th Parliament: 1st session
 385,1 August 1973 – 13 September 1973, 37th Parliament: 1st session
 386,14 September 1973 – 12 October 1973, 37th Parliament: 1st session
 387,16 October 1973 – 7 November 1973, 37th Parliament: 1st session
 388,8 November 1973 – 23 November 1973, 37th Parliament: 1st session
 389,4 February 1974 – 14 March 1974, 37th Parliament: 2nd session
 390,15 March 1974 – 7 June 1974, 37th Parliament: 2nd session
 391,11 June 1974 – 5 July 1974, 36th Parliament: 2nd session
 392,9 July 1974 – 1 August 1974, 37th Parliament: 2nd session
 393,2 August 1974 – 3 September 1974, 37th Parliament: 2nd session
 394,17 September 1974 – 10 October 1974, 37th Parliament: 2nd session
 395,11 October 1974 – 8 November 1974, 37th Parliament: 2nd session
 396,25 March 1975 – 23 April 1975, 37th Parliament: 3rd session
 397,24 April 1975 – 30 May 1975, 37th Parliament: 3rd session
 398,3 June 1975 – 24 June 1975, 37th Parliament: 3rd session
 399,25 June 1975 – 22 July 1975, 37th Parliament: 3rd session
 400,23 July 1975 – 29 August 1975, 37th Parliament: 3rd session
 401,2 September 1975 – 26 September 1975, 37th Parliament: 3rd session
 402,30 September 1975 – 10 October 1975, 37th Parliament: 3rd session
 403,22 June 1976 – 20 July 1976, 38th Parliament: 1st session
 404,21 July 1976 – 11 August 1976, 38th Parliament: 1st session
 405,12 August 1976 – 7 September 1976, 38th Parliament: 1st session
 406,8 September 1976 – 13 October 1976, 38th Parliament: 1st session
 407,14 October 1976 – 12 November 1976, 38th Parliament: 1st session
 408,16 November 1976 – 14 December 1976, 38th Parliament: 1st session
 409,28 February 1977, 38th Parliament: 2nd session
 410,19 May 1977 – 16 June 1977, 38th Parliament: 3rd session
 411,17 June 1977 – 21 July 1977, 38th Parliament: 3rd session
 412,22 July 1977 – 19 August 1977, 38th Parliament: 3rd session
 413,23 August 1977 – 21 September 1977, 38th Parliament: 3rd session
 414,22 September 1977 – 25 October 1977, 38th Parliament: 3rd session
 415,26 October 1977 – 22 November 1977, 38th Parliament: 3rd session
 416,23 November 1977 – 16 December 1977, 38th Parliament: 3rd session
 417,10 May 1978 – 14 June 1978, 38th Parliament: 4th session
 418,15 June 1978 – 12 July 1978, 38th Parliament: 4th session
 419,13 July 1978 - 15 August 1978, 38th Parliament: 4th session
 420,16 August 1978 – 14 September 1978, 38th Parliament: 4th session
 421,15 September 1978 – 6 October 1978, 38th Parliament: 4th session
